Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TCIFINANCE,EQ,12.1,3.07,15.58,0.19,0.02
ARIHANTACA,SM,280,3.7,169.55,0.01,0.02
WILLAMAGOR,EQ,29.57,3.1,32.4,0.08,0.02
SHUBHSHREE,SM,375,-1.32,196.57,0.01,0.02
MAITREYA,SM,280,0,189.73,0.01,0.02
SGBJU29III,GB,9226,-0.03,1364.74,0,0.02
HPIL,EQ,125.75,0.03,143.66,0.02,0.02
BAFNAPH,BE,75.67,1.19,179.01,0.03,0.02
AMDIND,EQ,48.59,1.72,93.13,0.05,0.02
SHIGAN,ST,72.55,4.99,138.3,0.03,0.02
DCMFINSERV,EQ,6.28,9.98,11.8,0.35,0.02
SLONE,ST,268,-0.43,141.21,0.01,0.02
VINEETLAB,BE,28.5,0.21,26.27,0.07,0.02
CRAYONS,ST,53.3,4.92,130.21,0.04,0.02
AXISVALUE,EQ,27.65,0.84,11.03,0.08,0.02
BANKBETF,EQ,55.18,-0.34,311.76,0.04,0.02
QUADPRO,SM,3.5,4.48,17.69,0.6,0.02
WEIZMANIND,EQ,113.77,-0.32,176.27,0.02,0.02
UMIYA-MRO,EQ,61.55,0.98,115,0.03,0.02
HINDCOMPOS,EQ,444.65,0.98,656.7,0,0.02
SREEL,EQ,238.55,1.25,552.36,0.01,0.02
10IIFL28,N4,1025,-0.27,238.54,0,0.02
SAMBHAAV,BE,6.65,1.68,127.09,0.31,0.02
VELS,ST,84.7,-4.99,109.33,0.02,0.02
850CIFCL26,NE,1033,3.3,235.72,0,0.02
699GS2026,GS,101.04,-0.44,56582.4,0.02,0.02
ENERGYDEV,EQ,19.38,1.95,92.06,0.1,0.02
ROYALARC,ST,166.9,0,185.26,0.01,0.02
SRPL,BZ,1.04,0,44.55,1.96,0.02
NIF10GETF,EQ,25.94,0.5,23.33,0.08,0.02
KLL,SM,82.05,-0.55,152.04,0.02,0.02
AHLEAST,EQ,141,0.41,243.81,0.01,0.02
ITETFADD,EQ,38.65,0.08,37.18,0.05,0.02
QVCEL,ST,30.7,4.96,32.09,0.06,0.02
MITCON,EQ,75.3,0.63,101.19,0.03,0.02
PSFL,SM,48.5,2.11,95.46,0.04,0.02
ARCHIES,EQ,18.49,-0.05,62.46,0.1,0.02
ABHAPOWER,ST,29,-4.45,53.9,0.06,0.02
SDL26BEES,EQ,129.68,-0.36,5194.85,0.01,0.02
ROLTA,BZ,2.36,4.89,39.15,0.82,0.02
PODDARMENT,EQ,304.05,1.03,322.6,0.01,0.02
WIPL,EQ,149.9,1.23,127.23,0.01,0.02
INFOLLION,SM,470,0,455.76,0,0.02
BEDMUTHA,EQ,161.35,0.67,520.58,0.01,0.02
CINEVISTA,EQ,16,7.17,91.9,0.12,0.02
SGBMAR28X,GB,9239.5,-0.11,699.74,0,0.02
ASTRON,BE,17.21,1.95,80.03,0.11,0.02
KCK,SM,36.8,-4.91,234.05,0.05,0.02
PARTYCRUS,SM,90.05,-3.12,107.39,0.02,0.02
DRL,ST,30.4,3.05,23.53,0.06,0.02
NIFMID150,EQ,207.13,1.43,9.57,0.01,0.02
NPBET,EQ,280.19,-0.53,12.43,0.01,0.02
LICNMID100,EQ,56,0.65,693.78,0.03,0.02
KANANIIND,BE,2.2,0.92,43.53,0.82,0.02
APCL,EQ,131,0.18,384.81,0.01,0.02
AUSL,ST,29.15,-2.02,72.4,0.06,0.02
MYMUDRA,SM,74.95,5.56,85.38,0.02,0.02
96IIFL28A,NF,968,0.24,317.53,0,0.02
CEREBRAINT,BZ,4.88,1.67,54.65,0.36,0.02
BBTCL,EQ,163.89,3.94,336.16,0.01,0.02
BANKETFADD,EQ,55.55,-0.41,680.94,0.03,0.02
TAINWALCHM,EQ,204.99,3.06,191.95,0.01,0.02
PROV,SM,1050,4.97,361.9,0,0.02
LAL,EQ,10.38,4.95,179.3,0.16,0.02
MOGSEC,EQ,61.44,-0.32,105,0.03,0.02
LCCINFOTEC,BE,5.66,1.8,71.65,0.29,0.02
HRHNEXT,ST,54.6,5,72.1,0.03,0.02
PROLIFE,SM,166.7,4.06,68.25,0.01,0.02
CONTI,SM,24.45,4.26,31.06,0.07,0.02
BANKPSU,EQ,65.94,0.44,42.51,0.02,0.02
HOVS,EQ,50.55,-0.86,63.67,0.03,0.02
GKWLIMITED,BE,1862,-2,1110.96,0,0.02
SHAHALLOYS,BE,60,-0.79,118.79,0.03,0.02
EGOLD,EQ,95.1,-0.63,167.83,0.02,0.02
ABMINTLLTD,EQ,50.99,8.35,47.97,0.03,0.02
AARVI,EQ,106.5,0.38,157.73,0.02,0.02
REXPRO,SM,80.5,0.63,90.21,0.02,0.02
ARUNAYA,ST,40.2,4.96,70.5,0.04,0.02
SBIETFQLTY,EQ,218.18,0.56,112.5,0.01,0.02
EUROBOND,SM,158.1,-3.01,387.35,0.01,0.02
ANSALAPI,BZ,4.43,0,69.73,0.36,0.02
SHERA,SM,155.55,-2.05,354.47,0.01,0.02
RAJRILTD,BE,22.74,1.97,1264.53,0.07,0.02
AMBEY,SM,38,-2.06,94.8,0.04,0.02
865SCL26,N8,965,0.24,13.22,0,0.02
OBCL,EQ,55.37,0.67,116.74,0.03,0.02
SVLL,EQ,557.95,-1.05,641.29,0,0.02
LICNFNHGP,EQ,276.5,0.08,743.1,0.01,0.01
SPLIL,BE,38.2,-0.78,110.78,0.04,0.01
925SCL26D,ZD,982,0.51,8.16,0,0.01
SGBNV29VII,GB,9180,-0.49,2981.88,0,0.01
WTICAB,SM,148.95,2.48,354.68,0.01,0.01
ARTNIRMAN,EQ,43,1.8,107.31,0.03,0.01
QUICKTOUCH,ST,58.25,4.95,63,0.03,0.01
725GS2063,GS,108,-0.19,259200,0.01,0.01
GSTL,ST,14,1.82,22.32,0.1,0.01
BOHRAIND,BE,30.45,1.7,43.53,0.05,0.01
AUSOMENT,EQ,85.22,0.5,116.1,0.02,0.01
PALREDTEC,BE,46.5,0,56.88,0.03,0.01
VLINFRA,SM,46.5,5.92,73.06,0.03,0.01
HMT,BZ,50.49,0.8,6079.46,0.03,0.01
AXISTECETF,EQ,404.69,0.81,176.67,0,0.01
SANGINITA,BE,10,-0.5,25.9,0.14,0.01
IFBAGRO,EQ,487.35,1.55,456.51,0,0.01
MCON,SM,136,3.03,99.68,0.01,0.01
BALKRISHNA,EQ,18.45,1.88,59.45,0.07,0.01
GUJRAFFIA,BE,37.63,0.4,20.34,0.04,0.01
RETAIL,EQ,40.95,0.07,27.86,0.03,0.01
ANTGRAPHIC,EQ,0.99,2.06,15.35,1.35,0.01
KRIDHANINF,BE,3.71,-0.8,35.16,0.35,0.01
CHAMUNDA,ST,44,2.33,48.42,0.03,0.01
HDFCVALUE,EQ,133.74,0.56,38.07,0.01,0.01
AROGRANITE,EQ,36.6,1.89,56,0.04,0.01
KRISHIVAL,SM,260,0,579.67,0.01,0.01
SELECTIPO,EQ,45.81,-0.15,16.41,0.03,0.01
SGBAUG29V,GB,9285,0.7,2128.81,0,0.01
LEMERITE,ST,321.25,1.34,754.33,0,0.01
ALKALI,EQ,84.63,1.83,86.17,0.02,0.01
SERVICE,SM,63,3.19,83.97,0.02,0.01
GAYAHWS,BE,1.2,4.35,28.76,1.05,0.01
S&SPOWER,BE,362.7,2.73,447.63,0,0.01
OMFURN,SM,102,2.2,120.1,0.01,0.01
733GS2026,GS,102,0.19,46920,0.01,0.01
PRUDMOULI,BE,39.99,-0.3,128.98,0.03,0.01
GOLDSTAR,ST,10.8,4.85,259.96,0.11,0.01
CELLPOINT,SM,17.05,0.29,31.86,0.07,0.01
AURDIS,SM,191,0.47,195.78,0.01,0.01
KARMAENG,EQ,55.46,0.96,64.17,0.02,0.01
AGNI,ST,23.15,-0.22,45.22,0.05,0.01
REFRACTORY,ST,58,0.43,126.44,0.02,0.01
10NFL25,N9,994.02,0.08,219.96,0,0.01
92GS2030,GS,115,0,71167.23,0.01,0.01
AIROLAM,EQ,89.99,0.99,135,0.01,0.01
364D100426,TB,94.6,0.19,12064.29,0.01,0.01
679GS2034,GS,103.03,0.03,189575.2,0.01,0.01
MARSHALL,BZ,10.7,0,25.57,0.11,0.01
SHRENIK,BE,0.64,0,39.17,1.75,0.01
737NTPC35C,NA,1398,18.15,255.24,0,0.01
UMA,SM,27.6,-0.72,55.96,0.04,0.01
910TCAP28,NA,1095,0.92,374.32,0,0.01
XTGLOBAL,EQ,35.79,2.76,478.02,0.03,0.01
SILVER360,EQ,96.8,-0.28,7.22,0.01,0.01
EUROTEXIND,EQ,13.95,3.03,12.21,0.08,0.01
SPRL,SM,132.05,-5,23.63,0.01,0.01
PKTEA,EQ,690,0.33,213.62,0,0.01
GROBTEA,EQ,875.9,-0.97,101.81,0,0.01
NIFITETF,EQ,384.92,0.7,5.29,0,0.01
DIL,BE,2.26,1.8,36.78,0.45,0.01
SGBJUN28,GB,9349,0.53,2232.85,0,0.01
EQUAL200,EQ,12.6,0.08,16.02,0.08,0.01
ONYX,SM,51,0,92.47,0.02,0.01
AKG,EQ,12.65,1.52,40.2,0.08,0.01
SGBOCT27VI,GB,9246.66,0,640.99,0,0.01
QNIFTY,EQ,2677.67,0.31,69.39,0,0.01
FALCONTECH,ST,28.25,-3.09,15.13,0.04,0.01
ESILVER,EQ,97.01,-1.08,170.32,0.01,0.01
82IGT31,NJ,1011.2,-0.1,605.89,0,0.01
RADAAN,BE,3.8,0.8,20.58,0.26,0.01
965AEL27,N4,1064.75,0.01,505.04,0,0.01
GOLD360,EQ,93,-0.75,14.68,0.01,0.01
91D050625,TB,99.5,0.09,21492,0.01,0.01
VIVO,SM,62,-0.88,12.49,0.02,0.01
91D110725,TB,99.04,0,10894.4,0.01,0.01
BANG,EQ,51.94,0.56,70.43,0.02,0.01
SONAMAC,SM,97.05,0.05,133.19,0.01,0.01
MONOPHARMA,SM,24,-0.41,42.4,0.04,0.01
MHHL,SM,63.75,-0.39,116.25,0.01,0.01
WELINV,EQ,815.25,0.91,297.93,0,0.01
BSLSENETFG,EQ,80.73,0.29,340.99,0.01,0.01
96SFIL24A,NB,928.05,0.01,11.51,0,0.01
IVZINNIFTY,EQ,2789.5,0.33,92.52,0,0.01
IL&FSENGG,BZ,38.8,-2.32,508.75,0.02,0.01
ARSHIYA,BZ,2.79,4.89,73.51,0.33,0.01
VCL,EQ,0.76,0,13.97,1.2,0.01
PNC,BE,27.5,4.76,39.78,0.03,0.01
SILLYMONKS,EQ,17.09,1.54,17.49,0.05,0.01
AKI,BE,7.92,4.9,70.12,0.11,0.01
GIRIRAJ,SM,179,0,428.18,0.01,0.01
NIBL,EQ,22.7,1.57,55,0.04,0.01
DAMODARIND,EQ,34.25,0.03,79.8,0.03,0.01
SENSEXADD,EQ,82.4,0.45,8.51,0.01,0.01
SECL,ST,7,-4.76,72.06,0.13,0.01
99AEL29,N7,1080,0.49,139.16,0,0.01
BVCL,EQ,37.05,2.24,82.1,0.02,0.01
VSCL,SM,28.35,5,36.24,0.03,0.01
MOQUALITY,EQ,187.9,0.95,18.48,0,0.01
ZEAL,SM,141.6,-3.01,188.47,0.01,0.01
IHFL261224,N1,1000,0.42,7.18,0,0.01
FLEXITUFF,BE,32.41,-2.03,106.38,0.03,0.01
ADL,EQ,90.34,0.2,50.29,0.01,0.01
CALSOFTPP,X1,3.15,-5.12,14.61,0.26,0.01
VITAL,SM,67.5,0.6,161.67,0.01,0.01
MOLOWVOL,EQ,36.9,0.11,81.42,0.02,0.01
KREBSBIO,EQ,76.29,1.25,164.49,0.01,0.01
AATMAJ,SM,19.6,-2.73,44.3,0.04,0.01
SHANTI,EQ,15.19,0,16.87,0.05,0.01
TGBHOTELS,EQ,9.78,-0.41,28.64,0.08,0.01
842IIFL26,NL,977,0.35,143.86,0,0.01
739NHAI26,N8,1017,0,666.91,0,0.01
BMETRICS,SM,46.95,-0.11,57.81,0.02,0.01
ECAPINSURE,EQ,21,0.91,12.3,0.04,0.01
ROML,EQ,47.4,-0.08,71.05,0.02,0.01
ORIENTLTD,EQ,82.58,0.97,82.58,0.01,0.01
LAXMICOT,EQ,25,0.12,42.87,0.03,0.01
WEWIN,BE,41.36,2.4,42.03,0.02,0.01
ZENITHEXPO,BE,256.85,4.99,138.6,0,0.01
AXSENSEX,EQ,83.15,0.29,131.88,0.01,0.01
702GS2027,GS,104.45,0.43,39691,0.01,0.01
MARCO,SM,46.9,1.96,87.7,0.01,0.01
CREATIVEYE,EQ,6.46,2.7,12.96,0.11,0.01
AKASH,EQ,27.02,0.33,45.56,0.03,0.01
BANKA,EQ,67.94,0.95,73.88,0.01,0.01
INCREDIBLE,EQ,38.05,1.2,177.94,0.02,0.01
364D260625,TB,98.99,0,4397.63,0.01,0.01
ACEINTEG,EQ,24.32,-0.08,24.81,0.03,0.01
679GS2034A,GS,99.13,2.2,2534.27,0.01,0.01
965IHFL25D,N7,1147,0.04,8.54,0,0.01
AGARWALFT,ST,45,-2.17,32.6,0.01,0.01
RADIOCITY,P1,110.85,0.77,99.43,0.01,0.01
702GS2031,GS,106,0.52,67840,0.01,0.01
ZENITHDRUG,ST,82.85,-0.66,142.08,0.01,0.01
NATCAPSUQ,EQ,206.07,2.1,213.1,0,0.01
KATARIA,SM,109.25,0,235.23,0.01,0.01
ROLLT,EQ,1.5,2.74,37.52,0.44,0.01
PARAMOUNT,ST,53.95,0,37.46,0.01,0.01
LYPSAGEMS,EQ,6.28,1.13,18.52,0.1,0.01
707IRFC25,NF,1050,0,385.85,0,0.01
71GS2034,GS,105.1,0.1,168160,0.01,0.01
DEEM,SM,62.6,0,52.19,0.01,0.01
SANWARIA,BZ,0.34,3.03,25.03,1.88,0.01
LEXUS,EQ,31.98,0,64.57,0.02,0.01
79NHIT35,N1,309.1,0.03,463.65,0,0.01
1003SFIL28,NX,698,0,6.28,0,0.01
HAVISHA,EQ,2.06,0,31.63,0.3,0.01
SALONA,EQ,245.4,1.3,129.14,0,0.01
DBSTOCKBRO,EQ,27.71,0.84,96.98,0.02,0.01
EMKAYTOOLS,SM,387,0,412.98,0,0.01
SCLZC25B,AT,1162.35,0.86,5.29,0,0.01
UNIONGOLD,EQ,93.3,-0.37,141.43,0.01,0.01
718GS2033,GS,106.55,0.09,214165.5,0.01,0.01
HEALTHADD,EQ,139.89,0.09,9.94,0,0.01
TFL,BE,15.3,0,82.12,0.04,0.01
835IFL25,NV,1069,0.58,50.23,0,0.01
PIONEEREMB,EQ,43.09,0.89,132.75,0.01,0.01
KEEPLEARN,EQ,3.58,4.99,55.74,0.15,0.01
TREEHOUSE,BE,8.72,4.31,36.89,0.06,0.01
709GS2054,GS,105,-0.19,117600,0.01,0.01
85IFL26,NX,1049.8,1.43,129.74,0,0.01
DELTAMAGNT,BE,60,-2.34,65.11,0.01,0.01
MADHUCON,EQ,7.12,-0.14,52.54,0.07,0.01
MID150,EQ,20.75,0.44,0.89,0.02,0
INSPIRE,SM,24.5,2.08,33.34,0.02,0
GRAPHISAD,SM,40.8,0.99,74.57,0.01,0
IDFNIFTYET,EQ,269.07,0.5,3.85,0,0
SEMAC,BE,373.4,3.62,116.4,0,0
TAKE,BZ,8.45,4.97,125,0.06,0
SVPGLOB,BE,3.08,0.33,38.96,0.15,0
SGBDEC26,GB,9350,0.54,194.37,0,0
SGBJUL25,GB,9323.99,-0.01,2191.09,0,0
GAJANAND,SM,15.5,0.98,29.2,0.03,0
BBNPNBETF,EQ,54.55,-0.37,4.02,0.01,0
KHANDSE,EQ,23.3,0.82,35.54,0.02,0
DNAMEDIA,EQ,4.95,0.81,58.27,0.09,0
TVVISION,BE,7.26,-2.02,28.13,0.06,0
SUULD,BZ,3.05,4.81,20.54,0.14,0
692GS2039,GS,106.45,0.42,112837,0,0
950SCL23A,AP,1062.55,0.27,6.99,0,0
YCCL,SM,14.1,-1.4,27.22,0.03,0
797IGT31,NL,1006.99,0,41.51,0,0
SABAR,ST,8,3.9,13.8,0.05,0
697GR2034,GS,100,0,1697.4,0,0
ANKITMETAL,BZ,2.19,4.29,30.9,0.19,0
MICROPRO,SM,23.9,-0.42,34.18,0.02,0
IL&FSTRANS,BZ,3.22,0,105.93,0.11,0
SUPREMEENG,BE,1.89,1.61,47.24,0.2,0
SPPPOLY,SM,18.55,4.21,28.55,0.02,0
SHYAMTEL,EQ,12.39,3.94,13.96,0.03,0
865TCAPS27,N8,1075.05,0,645.45,0,0
PREMIER,BE,3.06,-5.26,9.29,0.11,0
GSEC10ABSL,EQ,108.35,-0.6,89.68,0,0
VASA,SM,3.95,-4.82,2.37,0.08,0
DANGEE,BE,4.33,1.88,46.67,0.07,0
935LTF29,N5,1075.05,0.47,119.24,0,0
TIJARIA,BE,6.32,0,18.09,0.05,0
INFOMEDIA,EQ,6.64,1.68,33.33,0.05,0
OMKARCHEM,BZ,5.95,3.66,12.24,0.05,0
SHUBHLAXMI,SM,14.55,-3.64,12.81,0.02,0
91D240725,TB,98.86,0.26,34798.72,0,0
LOYALTEX,BE,293.65,4.8,141.43,0,0
182D310725,TB,98,0,8820,0,0
SITINET,BZ,0.49,2.08,42.73,0.61,0
364D290126,TB,95.83,0.36,10465.81,0,0
SCL25B,BI,1150.86,2.92,5.65,0,0
MITCONPP,E1,23.55,-5.38,9.99,0.01,0
SGBDEC25,GB,9650,2.66,103.62,0,0
SURANI,ST,139,2.21,216.12,0,0
KTL,SZ,8.6,4.88,14.78,0.03,0
FSC,BZ,2,-1.48,8.78,0.12,0
HYBRIDFIN,EQ,11.01,1.01,32.41,0.02,0
891IIFCL34,N4,1251,-0.4,0,0,0
832GS2032,GS,113.2,-0.48,101239.34,0,0
AMBICAAGAR,EQ,27.83,-0.07,47.8,0.01,0
GLOBALE,BE,16.28,2.33,17.29,0.01,0
HINDNATGLS,BE,17.15,0.47,153.58,0.01,0
704GS2029,GS,106.11,0.08,93376.8,0,0
NKIND,EQ,63.42,-2.83,38.11,0,0
10IIFL29,N6,995,0,30.86,0,0
897MOFSL29,N4,1018,0,96.85,0,0
915SCL26,NE,1015,-0.5,198.28,0,0
833GS2026,GS,105,0.96,94500,0,0
664GS2027,GS,103.65,1.21,34204.5,0,0
UNIINFO,BE,15,0,16.04,0.01,0
NIDAN,SM,20,1.52,27.8,0.01,0
364D261225,TB,96.27,1.34,7376.64,0,0
925ERFL28,N6,959,0.95,46.37,0,0
NORBTEAEXP,BE,38.25,-2.25,44.94,0,0
SABEVENTS,BE,4.97,-2.17,5.21,0.04,0
885MOFSL26,N0,1000,-0.79,47.98,0,0
GATDVR-RE,BE,0.08,14.29,0.59,1.97,0
ALPSINDUS,BE,2.52,1.61,9.86,0.06,0
MFML,BE,31.95,1.72,33.93,0,0
1040NFL26,NA,999.6,0.06,95.1,0,0
GOENKA,BZ,0.83,1.22,26.31,0.17,0
UMESLTD,BE,5.46,0.92,14.42,0.03,0
1040UCL27B,N1,1029.9,1.97,35.42,0,0
1018GS2026,GS,107,0,16050,0,0
NAGREEKCAP,EQ,27.33,4.31,34.48,0,0
NEXTMEDIA,BE,7.25,-0.55,48.5,0.02,0
ORTINGLOBE,BE,10.95,1.01,8.9,0.01,0
M&MFIN,N3,2169,-0.78,0,0,0
BLUECOAST,BE,24.5,-2.04,35.87,0,0
REGENCERAM,EQ,44.19,1.96,116.85,0,0
709GS2074,GS,106.45,-0.05,68128,0,0
723GS2039,GS,106.35,-0.61,124429.5,0,0
957ICCL25,YW,1063,0.09,28.04,0,0
675GS2029,GS,104.48,-0.33,59553.6,0,0
931SFL26,Z5,1045,-0.95,21.98,0,0
690GS2065,GS,101.07,0,32342.4,0,0
SCL271224A,N1,1000,0,2.56,0,0
768KA31,SG,100,-1.96,2000,0,0
667GS2050,GS,99.75,-0.25,151174.24,0,0
965SCL26Y,N1,994.95,0,10.97,0,0
91D190625,TB,99.35,-0.15,13909,0,0
ABGSEC,EQ,109.56,0.62,45.79,0,0
772GS2049,GS,112.5,3.14,90000,0,0
182D070825,TB,98.32,0,8553.84,0,0
182D061125,TB,97.25,0.1,5835,0,0
MASKINVEST,BE,177,2.31,54.01,0,0
SGBDC27VII,GB,9280,0,601.63,0,0
LOWVOL,EQ,199.01,-0.48,42.45,0,0
MON50EQUAL,EQ,30.71,0.36,5.4,0,0
LAKPRE,BZ,4.94,4.88,5.41,0.01,0
MEP,BZ,1.68,1.82,30.82,0.04,0
IIFLZC25,ND,1750,0.17,10.12,0,0
610GS2031,GS,101,0,149480,0,0
IMC1,N0,252.5,0,61.61,0,0
IMC1,N3,255,0,62.22,0,0
IMC1,N1,255,0,62.22,0,0
IMC1,N2,255,0,62.22,0,0
FELDVR,BZ,4,2.56,15.75,0.01,0
SANCO,BZ,2.47,1.23,3.23,0.02,0
CYBERMEDIA,BE,14.16,0,22.18,0,0
971SCL29,Z0,900.3,0.03,18.37,0,0
MODTHREAD,EQ,42.74,4.09,148.63,0,0
ARENTERP,EQ,40.9,0.29,12.71,0,0
1003SCL30A,NV,839.8,-2.35,2.51,0,0
ORTEL,BZ,1.95,4.84,6.43,0.02,0
GOLDENTOBC,BZ,34,-2.83,59.87,0,0
FEL,BZ,0.59,1.72,26.84,0.05,0
IMPEXFERRO,BZ,2.11,4.46,18.55,0.01,0
WINSOME,BZ,1.78,1.71,12.59,0.02,0
SETUINFRA,BZ,0.58,3.57,7.29,0.04,0
830NHAI27,N2,1092,0.01,3585.06,0,0
970CAGL28,ND,1019,0.19,258.04,0,0
1025UCL26A,N1,982.1,-0.61,67.85,0,0
EBANKNIFTY,EQ,54.96,-0.11,7.04,0,0
PANSARI,BE,185,0.01,322.77,0,0
563GS2026,GS,100.25,1.13,160904.4,0,0
ONELIFECAP,BE,10.8,0.56,14.43,0,0
EQUIPPP,BE,20.9,0.67,215.47,0,0
1030SFIL28,NM,640,0.31,4.67,0,0
MTEDUCARE,BE,2.25,-2.17,16.25,0,0
574GS2026,GS,99,-3.46,80190,0,0
GLFL,BE,4.6,-2.54,12.48,0,0
727GS2026,GS,100.9,-2.49,48445.96,0,0
